Person_Id;Election_Id;Bundesland_Id;Position
1412;2;15;5
1413;2;5;41
1414;2;3;4
1415;1;3;10
1415;2;3;12
1416;2;5;39
1417;1;11;6
1417;2;14;2
1418;1;6;41
1418;2;6;45
1419;1;10;15
1419;2;10;16
1420;2;16;11
1421;2;8;5
1423;2;9;22
1424;1;9;10
1424;2;9;10
1427;2;2;11
1430;2;6;38
1431;1;16;3
1431;2;16;2
1432;1;5;47
1432;2;5;55
1435;2;7;10
1436;2;13;3
1437;2;6;36
1438;2;1;11
1439;2;3;8
1440;2;16;8
1441;1;15;2
1441;2;15;6
1442;2;11;46
1443;1;3;45
1443;2;3;59
1444;2;5;23
1445;1;5;15
1445;2;5;13
1446;2;15;7
1449;2;6;34
1450;1;5;9
1450;2;5;2
1451;2;15;16
1452;2;3;7
1453;1;5;41
1453;2;5;32
1454;2;10;3
1456;2;5;24
1457;2;15;8
1458;1;9;13
1458;2;9;7
1460;2;7;25
1462;2;5;10
1463;2;8;18
1464;2;9;8
1466;2;6;2
1468;1;9;17
1468;2;9;14
1469;2;9;11
1470;2;6;32
1472;2;8;17
1473;2;6;30
1475;2;1;12
1476;2;5;13
1477;2;11;5
1478;2;15;3
1479;1;5;13
1479;2;5;17
1480;2;9;22
1481;1;5;42
1481;2;5;45
1482;2;10;20
1483;2;8;12
1484;2;10;2
1485;2;14;4
1486;1;7;4
1486;2;7;2
1488;1;16;4
1488;2;16;4
1489;1;2;9
1489;2;2;10
1491;2;5;3
1492;2;9;63
1493;2;8;20
1494;2;7;25
1497;2;5;4
1498;1;14;2
1498;2;14;3
1499;2;9;32
1500;1;11;8
1500;2;11;12
1501;2;6;6
1503;2;5;24
1504;2;7;1
1505;2;10;4
1507;2;1;16
1508;2;3;9
1509;2;1;4
1510;2;7;11
1513;2;9;3
1514;2;4;2
1515;2;7;3
1516;2;6;12
1517;1;5;4
1517;2;5;5
1518;2;8;16
1519;2;11;17
1520;1;5;32
1520;2;5;26
1521;2;6;1
1522;2;9;7
1523;1;16;4
1523;2;16;4
1524;2;5;55
1525;2;5;16
1526;1;7;32
1526;2;7;6
1527;2;11;3
1529;2;3;7
1530;1;5;9
1530;2;5;2
1531;2;9;35
1533;2;16;2
1534;2;15;12
1535;2;11;4
1537;1;7;5
1537;2;7;3
1538;2;7;5
1539;2;5;9
1540;2;11;1
1541;1;5;1
1541;2;5;1
1542;1;14;3
1542;2;14;9
1543;2;9;46
1544;2;4;2
1547;1;8;9
1547;2;8;17
1548;2;13;2
1549;2;9;4
1551;2;5;57
1555;2;9;27
1556;2;9;11
1557;2;11;2
1559;2;7;23
1560;2;7;1
1561;2;9;24
1563;2;5;52
1564;1;11;11
1564;2;11;20
1566;2;7;6
1567;2;9;19
1568;2;9;35
1569;2;7;17
1570;1;9;4
1570;2;9;2
1571;1;9;27
1571;2;9;28
1574;2;8;28
1575;2;9;17
1576;2;13;1
1578;2;11;35
1579;2;3;38
1580;2;10;1
1581;1;3;30
1582;2;8;14
1584;2;10;5
1587;1;8;1
1587;2;8;2
1588;2;9;4
1589;1;3;4
1589;2;3;8
1590;2;3;17
1591;2;13;11
1592;1;8;18
1592;2;8;15
1593;2;9;7
1594;2;16;7
1595;2;4;2
1596;2;6;14
1598;2;7;25
1599;2;9;22
1600;2;6;19
1601;1;9;9
1601;2;9;18
1602;2;8;26
1603;1;10;10
1603;2;10;11
1605;2;11;8
1606;1;10;2
1606;2;10;3
1607;2;15;8
1608;2;15;9
1609;2;9;9
1610;2;5;13
1611;1;9;22
1611;2;9;14
1612;2;5;19
1614;1;6;3
1615;2;9;9
1617;2;10;4
1619;2;12;2
1620;2;9;21
1621;2;8;26
1622;2;9;17
1623;2;5;51
1624;2;3;32
1625;1;5;6
1625;2;5;4
1626;2;10;3
1627;2;16;5
1628;2;2;7
1630;2;13;3
1631;2;14;13
1632;2;1;9
1633;1;11;5
1633;2;11;5
1634;1;11;3
1634;2;11;2
1636;2;5;26
1637;2;13;8
1639;2;3;34
1641;1;12;3
1641;2;12;4
1643;2;9;27
1644;1;3;21
1644;2;3;8
1646;2;16;6
1649;2;1;26
1650;2;14;6
1651;2;8;32
1654;2;5;3
1656;2;9;22
1657;2;8;4
1658;2;13;8
1659;1;6;5
1660;2;11;15
1661;2;7;17
1662;2;7;3
1663;2;15;6
1664;2;6;4
1665;2;9;4
1666;2;9;1
1667;2;5;23
1668;2;1;5
1670;2;5;28
1671;2;5;21
1672;2;7;20
1673;2;3;9
1674;2;8;7
1675;2;3;16
1676;2;5;34
1677;2;5;8
1678;2;9;15
1679;1;5;44
1679;2;5;35
1683;1;8;33
1683;2;8;37
1684;1;5;2
1684;2;5;3
1686;1;13;10
1686;2;13;10
1687;1;7;29
1687;2;7;14
1688;1;1;19
1688;2;1;13
1689;1;6;43
1689;2;6;29
1690;2;11;18
1691;2;13;6
1692;2;5;11
1693;1;1;6
1694;1;10;20
1694;2;10;21
1695;2;5;20
1696;1;7;5
1696;2;7;11
1697;1;1;4
1698;2;5;42
1701;2;14;9
1702;1;7;16
1702;2;7;7
1703;2;8;10
1704;2;8;10
1706;2;7;24
1707;2;10;2
1709;2;9;27
1710;1;8;14
1710;2;8;12
1712;2;6;18
1713;2;6;1
1714;2;8;34
1715;2;12;10
1717;1;7;14
1717;2;7;13
1718;2;7;9
1720;2;5;30
1722;2;13;2
1723;1;3;26
1723;2;3;11
1724;1;8;15
